name,description,category,organization,country,location,notes_location,start_date,end_date,notes_duration,data_accessibility,accessibility_for_research,project_information_url,data_url
Het Vrije Volk,Citizens describe photos that have appeared in the paper Het Vrije Volk.,History,Stadsarchief Amsterdam,The Netherlands,,,2017.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/amsterdam_vrije_volk,https://archief.amsterdam/beeldbank/?mode=gallery&view=horizontal&q=het%20vrije%20volk&page=1&reverse=0
Wittebroodsweken,Citizens help index scans of marriage certificates from Gelderland between 1923 and 1942. ,History,Gelders Archief,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/gda_index_huwelijk,-
Bredase notarissen 1843 - 1905,Citizens help index archives of notaries located in Breda from 1843 to 1905. ,History,Stadsarchief Breda,The Netherlands,,,2020.0,ongoing,,Viewable once finished ,No,https://velehanden.nl/projecten/bekijk/details/project/brd_index_repertoria,https://www.wiewaswie.nl/
AlleFriezen - Bevolkingsregisters,Citizens help index scans of population registers from Friesland between 1850 and 1939.,History,AlleFriezen,The Netherlands,,,2013.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/frl,-
Glashelder!,"Citizens help index the old labels on microscopic glass preparations containing mites, springtails and other small organisms in the collection of Naturalis. ",History,Naturalis Biodiversity Center,The Netherlands,,,2013.0,2014,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/nat_nbc,https://www.naturalis.nl/collectie
Geboeid door boeven! Inschrijfboeken van Brabantse Huizen van Bewaring 19e eeuw,Citizens help digitalize the registration files from prisons in Brabant in the 19th century. ,History,Brabants Historisch Informatie Centrum,The Netherlands,,,2015.0,2017,,Probably viewable,Unsure,https://velehanden.nl/projecten/bekijk/details/page/2/status/closed/project/bhic_strafgevangenissen_2,-
Goetgevonden! Besluiten van de Staten-Generaal (1576 - 1796),Citizens help transcribe the resolutions adopted by the Staten-Generaal between 1576 and 1796.,History,Huygens ING,The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/huy_correct_resoluties_transkribus,-
Regionaal Archief Nijmegen - Bevolkingsregisters 1850 - 1890,Citizens help index scans of population registers from Nijmegen between 1850 and 1890.,History,Regionaal Archief Nijmegen,The Netherlands,,,2013.0,2014,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/nijmegen_bvr,https://studiezaal.nijmegen.nl/zoeken.php?zoeken[beschrijvingsgroepen][2145654597]=2145654597
Goed geregeld! Brabanders in het Bosch' Protocol 1501 - 1793,"Citizens help transcribe scans of the Bosch' Protocol by name, location and event. ",History,Erfgoed 's-Hertogenbosch,The Netherlands,,,2016.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/picvh_bhic_bevolkingsregister,-
Crowd leert computer lezen,Citizens help train an AI to read old notary deeds by correcting the transcription made by the computer. ,History,Stadsarchief Amsterdam,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/amsterdam_correct_notarieel_transkribus,-
Hagenaars en Hagenezen - Bevolkingsregister Den Haag 1913 – 1939,Citizens describe cards with photos of families that lived in Den Haag between 1913 and 1939. ,History,Haags Gemeentearchief,The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/hga_index_gezinskaarten,-
